URL	Question	Option A	Option B	Option C	Option D	GT	Prompt
https://attack.mitre.org/techniques/T1027/013	The MITRE ATT&CK framework highlights the use of "Dont-Kill-My-Cat" (DKMC) framework for code obfuscation. Which adversary is known to use this specific framework?	APT33	APT19	APT28	APT32	D	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* The MITRE ATT&CK framework highlights the use of "Dont-Kill-My-Cat" (DKMC) framework for code obfuscation. Which adversary is known to use this specific framework? *Options:* A) APT33 B) APT19 C) APT28 D) APT32 *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1027/013	According to MITRE ATT&CK, which adversary has been observed employing a hybrid encryption scheme combining Blowfish-OFB with RSA to secure specific data types like configuration data, log files, and plugins?	Bazar	Astaroth	Attor	AuditCred	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to MITRE ATT&CK, which adversary has been observed employing a hybrid encryption scheme combining Blowfish-OFB with RSA to secure specific data types like configuration data, log files, and plugins? *Options:* A) Bazar B) Astaroth C) Attor D) AuditCred *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1027/013	As per MITRE ATT&CK, what file format, often leveraged for its ability to contain and execute embedded content, is cited as a potential vector for adversary misuse to encrypt or encode payloads, such as those used in Phishing (T1566)?	Self-extracting (SFX) archives	Password-protected ZIP files	PDF documents with embedded JavaScript	Microsoft Word documents with macros	A	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* As per MITRE ATT&CK, what file format, often leveraged for its ability to contain and execute embedded content, is cited as a potential vector for adversary misuse to encrypt or encode payloads, such as those used in Phishing (T1566)? *Options:* A) Self-extracting (SFX) archives B) Password-protected ZIP files C) PDF documents with embedded JavaScript D) Microsoft Word documents with macros *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1027/013	In the context of MITRE ATT&CK, which adversary is notable for its use of the ApLib algorithm for compressing its malicious components?	Bisonal	BADHATCH	Bazar	BendyBear	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* In the context of MITRE ATT&CK, which adversary is notable for its use of the ApLib algorithm for compressing its malicious components? *Options:* A) Bisonal B) BADHATCH C) Bazar D) BendyBear *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1027/013	According to MITRE ATT&CK, which adversary has been observed encoding sections of their code to evade detection, specifically within the context of their "Chrommme" toolset?	CozyCar	Chinoxy	Cardinal RAT	Chrommme	D	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to MITRE ATT&CK, which adversary has been observed encoding sections of their code to evade detection, specifically within the context of their "Chrommme" toolset? *Options:* A) CozyCar B) Chinoxy C) Cardinal RAT D) Chrommme *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1027/013	MITRE ATT&CK documentation highlights an instance where a Python script, encoded using Base64, was utilized to modify a specific binary. Which incident involved this technique?	Operation Honeybee	Operation Dust Storm	Cutting Edge	Night Dragon	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* MITRE ATT&CK documentation highlights an instance where a Python script, encoded using Base64, was utilized to modify a specific binary. Which incident involved this technique? *Options:* A) Operation Honeybee B) Operation Dust Storm C) Cutting Edge D) Night Dragon *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1027/013	According to MITRE ATT&CK, what specific data component, obtainable through File Creation events, can be monitored to identify potentially malicious files by analyzing the randomness of their content, which might indicate compression or encryption?	File Path	File Permissions	File Entropy	File Extension	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* According to MITRE ATT&CK, what specific data component, obtainable through File Creation events, can be monitored to identify potentially malicious files by analyzing the randomness of their content, which might indicate compression or encryption? *Options:* A) File Path B) File Permissions C) File Entropy D) File Extension *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1027/013	Which mitigation strategy, as per MITRE ATT&CK, is recommended for Windows 10+ environments to proactively restrict the execution of scripts that exhibit potential obfuscation, aligning with the framework's focus on threat prevention?	Antivirus/Antimalware	Data Loss Prevention (DLP)	Attack Surface Reduction (ASR) rules	Disabling scripting engines system-wide	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Which mitigation strategy, as per MITRE ATT&CK, is recommended for Windows 10+ environments to proactively restrict the execution of scripts that exhibit potential obfuscation, aligning with the framework's focus on threat prevention? *Options:* A) Antivirus/Antimalware B) Data Loss Prevention (DLP) C) Attack Surface Reduction (ASR) rules D) Disabling scripting engines system-wide *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/002	Within the MITRE ATT&CK framework, which technique ID is associated with an adversary clearing system logs to hide evidence of an intrusion?	T1070.004	T1562.001	T1562	T1070	C	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* Within the MITRE ATT&CK framework, which technique ID is associated with an adversary clearing system logs to hide evidence of an intrusion? *Options:* A) T1070.004 B) T1562.001 C) T1562 D) T1070 *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
https://attack.mitre.org/techniques/T1070/002	In the context of MITRE ATT&CK (Enterprise), which adversary is known to remove logs from both '/var/logs' and '/Library/logs'?	MacMa	Proton	Rocke	TeamTNT	B	You are given a multiple-choice question from CTI. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D. *Question:* In the context of MITRE ATT&CK (Enterprise), which adversary is known to remove logs from both '/var/logs' and '/Library/logs'? *Options:* A) MacMa B) Proton C) Rocke D) TeamTNT *Important:* The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.
